Fluxo;Ano;mes_numero;mes_nome;Município;Valor US$ FOB;Quilograma Líquido
Importação;2023;5;Maio;Santos - SP;124963517;216439999
Importação;2023;6;Junho;Cubatão - SP;76286375;193974975
Importação;2023;6;Junho;Guarujá - SP;27449416;19960487
Importação;2023;6;Junho;Santos - SP;60406327;115538806
Importação;2023;7;Julho;Cubatão - SP;96277747;236645770
Importação;2023;7;Julho;Guarujá - SP;35303008;42449456
Importação;2023;7;Julho;Santos - SP;93008718;148594383
Importação;2023;8;Agosto;Cubatão - SP;40233485;149552897
Importação;2023;8;Agosto;Guarujá - SP;131076432;17819801
Importação;2023;8;Agosto;Santos - SP;115582783;183375154
Importação;2023;9;Setembro;Cubatão - SP;35372943;139545596
Importação;2023;9;Setembro;Guarujá - SP;33369723;19784574
